activityId,workerId,date,companyName,establishmentName,numberOfRuptures,numberProductsOutStorage,numberProductsOutShelf,rateOfRuptures,rateOutStorage,mixSize,duration,numberOfPictures,averageRating,marker
5e2e59599ce42a000225e714,5d9f89dd18bb460002151a1f,2020-02-03,LOHN BIER,TodoDia - Araucária,12,12,12,1.0,1.0,12,16.0,2,,ok
5e324dd6877fec0002cb1be9,5dd674384fe0c0000245ea16,2020-02-06,LOHN BIER,TodoDia - Araucária,12,12,12,1.0,1.0,12,6.0,2,,ok
5e3793d8da11330002481f15,5de138e6786feb0002d38347,2020-02-10,LOHN BIER,TodoDia - Araucária,12,12,12,1.0,1.0,12,6.0,2,,ok
5de4855a29b6940002f38f4d,5cf6c994a68a4d0002e06fdf,2019-12-09,LOHN BIER,Big - Curitiba - Santa Felicidade,4,4,4,0.33,0.33,12,19.0,6,,ok
5de48561466e04000297fd45,5d16487bb67b2200027fd0b0,2019-12-09,LOHN BIER,Big - Curitiba - Torres,7,10,9,0.58,0.83,12,,2,,ok
5de48565ec56380002b8d142,5d1fa4239445ca0002ad77d8,2019-12-09,LOHN BIER,Walmart - Curitiba - Jardim das Américas,2,12,2,0.17,1.0,12,29.0,5,,ok
5de4856788d5b00002571d76,5ce92798b9a0660034752df0,2019-12-09,LOHN BIER,Mercadorama - Curitiba - XV de Novembro,9,12,9,0.75,1.0,12,,4,,ok
5de1e25e836b4e0002dce699,5dc1e88767625a0002d06324,2019-12-07,TRINDADE MASSAS (CÂMARA FRIA),Max atacadista - Ponta Grossa,0,0,0,0.0,0.0,6,54.0,4,,ok
5df45753bcaf240002e8837e,5dc1e88767625a0002d06324,2019-12-21,TRINDADE MASSAS (CÂMARA FRIA),Max atacadista - Ponta Grossa,0,1,0,0.0,0.17,6,34.0,6,,ok
5dfd91d22c161d000271b120,5dc1e88767625a0002d06324,2019-12-28,TRINDADE MASSAS (CÂMARA FRIA),Max atacadista - Ponta Grossa,0,3,0,0.0,0.5,6,71.0,6,,ok
5e06cc759eafbf000298a36f,5de80b7e97e4240002df9ea4,2020-01-04,TRINDADE MASSAS (CÂMARA FRIA),Max atacadista - Ponta Grossa,0,0,0,0.0,0.0,6,37.0,11,,ok
5e1941700536bf0002dc7838,5de2999e585cc6000210ad6c,2020-01-18,TRINDADE MASSAS (CÂMARA FRIA),Max atacadista - Ponta Grossa,2,6,2,0.33,1.0,6,65.0,18,,ok
5e2bb6557c3a810002d2a698,5dc1e88767625a0002d06324,2020-02-01,TRINDADE MASSAS (CÂMARA FRIA),Max atacadista - Ponta Grossa,1,5,1,0.17,0.83,6,18.0,18,,ok
5de333d388d5b0000256bc6c,5dc1e88767625a0002d06324,2019-12-08,TRINDADE MASSAS (CÂMARA FRIA),Max atacadista - Ponta Grossa,0,0,0,0.0,0.0,6,60.0,3,,ok
5df5a8eeb720f800022df3ba,5dc1e88767625a0002d06324,2019-12-22,TRINDADE MASSAS (CÂMARA FRIA),Max atacadista - Ponta Grossa,1,1,1,0.17,0.17,6,75.0,0,,ok
5dfee35a9b42e90002a4fffd,5dc1e88767625a0002d06324,2019-12-29,TRINDADE MASSAS (CÂMARA FRIA),Max atacadista - Ponta Grossa,0,1,0,0.0,0.17,6,29.0,7,,ok
5e081dc52826a600025dbb92,5de80b7e97e4240002df9ea4,2020-01-05,TRINDADE MASSAS (CÂMARA FRIA),Max atacadista - Ponta Grossa,0,2,0,0.0,0.33,6,46.0,13,,ok
5e1a92d0b7ed360002a5b87d,5dc1e88767625a0002d06324,2020-01-19,TRINDADE MASSAS (CÂMARA FRIA),Max atacadista - Ponta Grossa,2,6,2,0.33,1.0,6,54.0,21,,ok
5e23cd4f151f4e00028ffdc3,5dc1e88767625a0002d06324,2020-01-26,TRINDADE MASSAS (CÂMARA FRIA),Max atacadista - Ponta Grossa,0,4,0,0.0,0.67,6,28.0,14,,ok
5e364249df74b300023560b1,5dfc4b1f918546000202a159,2020-02-09,TRINDADE MASSAS (CÂMARA FRIA),Max atacadista - Ponta Grossa,0,3,0,0.0,0.5,6,45.0,9,,ok
5de4857fb3a8f2000206ef41,5d92a44ddaf60800023761b3,2019-12-09,MR. CRUMS,Big - Curitiba - Av. Paraná,1,2,2,0.05,0.1,21,,6,,ok
5ddb4aedb2b29e000243839c,5d28e7901313480002c6bb94,2019-12-02,MR. CRUMS,Big - Curitiba - Torres,0,5,0,0.0,0.24,21,23.0,4,,ok
5ddb4aeb4a017300021806fa,5d93526219117c0002975227,2019-12-02,MR. CRUMS,Mercadorama - Curitiba - Batel,8,21,8,0.38,1.0,21,17.0,4,,ok
5ddb4af7e82e7100025814fe,5d557a20f880f500027c0405,2019-12-02,MR. CRUMS,Big  - Foz do Iguaçu - Jardim Monjollo,0,21,0,0.0,1.0,21,39.0,8,,ok
5ddb4af74a01730002180704,5d8b89ff96251600029c5566,2019-12-02,MR. CRUMS,Big - Londrina - Helena,0,0,0,0.0,0.0,21,17.0,0,,ok
5de48585ec56380002b8d174,5d8b89ff96251600029c5566,2019-12-09,MR. CRUMS,Big - Londrina - Helena,0,0,0,0.0,0.0,21,17.0,0,,ok
5dedbfd373ea5a0002c6c439,5dd754ad0c1cb60002db67b3,2019-12-16,MR. CRUMS,Big - Londrina - Helena,0,0,0,0.0,0.0,21,114.0,0,,ok
5df6fa619d7845000269f0e8,5d669adf3a6c7e0002b841f0,2019-12-23,MR. CRUMS,Big - Londrina - Helena,0,0,0,0.0,0.0,21,23.0,0,,ok
5e0034d9513ecb0002aa269c,5d669adf3a6c7e0002b841f0,2019-12-30,MR. CRUMS,Big - Londrina - Helena,0,0,0,0.0,0.0,21,6.0,0,,ok
5e096f5cf54aec00020ff33e,5d669adf3a6c7e0002b841f0,2020-01-06,MR. CRUMS,Big - Londrina - Helena,0,0,0,0.0,0.0,21,13.0,0,,ok
5ddb4af84a01730002180709,5d557a20f880f500027c0405,2019-12-02,MR. CRUMS,Big  - Foz do Iguaçu - Jardim Monjollo,0,0,0,0.0,0.0,21,12.0,0,,ok
5de4858529b6940002f38f96,5d557a20f880f500027c0405,2019-12-09,MR. CRUMS,Big  - Foz do Iguaçu - Jardim Monjollo,0,0,0,0.0,0.0,21,8.0,0,,ok
5dedbfd473ea5a0002c6c43e,5d557a20f880f500027c0405,2019-12-16,MR. CRUMS,Big  - Foz do Iguaçu - Jardim Monjollo,0,0,0,0.0,0.0,21,17.0,0,,ok
5df6fa629d7845000269f0ed,5d557a20f880f500027c0405,2019-12-23,MR. CRUMS,Big  - Foz do Iguaçu - Jardim Monjollo,0,0,0,0.0,0.0,21,27.0,0,,ok
5e0034d9513ecb0002aa26a1,5d557a20f880f500027c0405,2019-12-30,MR. CRUMS,Big  - Foz do Iguaçu - Jardim Monjollo,0,0,0,0.0,0.0,21,28.0,0,,ok
5e096f64d5e63e0002bd04b8,5d557a20f880f500027c0405,2020-01-06,MR. CRUMS,Big  - Foz do Iguaçu - Jardim Monjollo,0,0,0,0.0,0.0,21,27.0,0,,ok
5e212a6e3204aa0002bceea6,5e11b70a0091d00002e1bf27,2020-01-24,DA MAGRINHA,Maxxi - Pinhais -  Pinhais,3,3,4,0.2,0.2,15,-166.0,0,,ok
5de4854bdadc2c0002763482,5d90066411c9fd0002e7e431,2019-12-09,MOINHO DO NORDESTE,Condor - Curitiba - Boa Vista,2,3,2,0.67,1.0,3,55.0,4,,ok
5de879d1abba740002b50272,5d9f9b05d33d2000021b6a1b,2019-12-12,MOINHO DO NORDESTE,Condor - Curitiba - Boa Vista,1,1,1,0.33,0.33,3,48.0,8,,ok
5de175998608640002367c44,5d4752559842d60002d9641d,2019-12-02,MOINHO DO NORDESTE,Condor - Almirante Tamandaré - Alto Pinheiros,0,0,0,0.0,0.0,3,,4,,ok
5de879d2ed0ef5000216f556,5d92a44ddaf60800023761b3,2019-12-12,MOINHO DO NORDESTE,Condor - Almirante Tamandaré - Alto Pinheiros,0,0,0,0.0,0.0,3,12.0,4,,ok
5deb1cd3ab8c960002927c70,5d92a44ddaf60800023761b3,2019-12-14,MOINHO DO NORDESTE,Condor - Almirante Tamandaré - Alto Pinheiros,0,0,0,0.0,0.0,3,6.0,3,,ok
5dedbfd960f5d400024abd16,5d1a41a00c2bf400022ff486,2019-12-16,MOINHO DO NORDESTE,Condor - Almirante Tamandaré - Alto Pinheiros,0,0,0,0.0,0.0,3,19.0,4,,ok
5defd24518c8ad0002cffb0e,5dd97ac0a653040002ed1704,2019-12-11,MOINHO DO NORDESTE,Condor - Almirante Tamandaré - Alto Pinheiros,0,0,0,0.0,0.0,3,38.0,7,,ok
5de1758d8608640002367c26,5d9f89dd18bb460002151a1f,2019-12-02,MOINHO DO NORDESTE,Condor -  Araucária - Bairro Costeira,1,1,1,0.33,0.33,3,26.0,4,,ok
5de5d6e12129100002e610a4,5d1b4c5886c7bb0002d46563,2019-12-10,MOINHO DO NORDESTE,Condor -  Araucária - Bairro Costeira,0,2,0,0.0,0.67,3,36.0,4,,ok
5de879d2ed0ef5000216f55b,5dd4758422b9470002bad267,2019-12-12,MOINHO DO NORDESTE,Condor -  Araucária - Bairro Costeira,0,1,0,0.0,0.33,3,25.0,6,,ok
5de9cb5b8e6bd10002471231,5d9f89dd18bb460002151a1f,2019-12-13,MOINHO DO NORDESTE,Condor -  Araucária - Bairro Costeira,0,2,0,0.0,0.67,3,3.0,4,,ok
5dedbfda73ea5a0002c6c457,5dd937f284c8500002ce188a,2019-12-16,MOINHO DO NORDESTE,Condor -  Araucária - Bairro Costeira,0,1,0,0.0,0.33,3,43.0,17,,ok
5def1153c940d800024fc2e8,5d7ad8c943ae200002cbc807,2019-12-17,MOINHO DO NORDESTE,Condor -  Araucária - Bairro Costeira,0,1,0,0.0,0.33,3,26.0,4,,ok
5defd23e18c8ad0002cffb03,5d4ca3dd8584f200027201be,2019-12-11,MOINHO DO NORDESTE,Condor -  Araucária - Bairro Costeira,2,2,2,0.67,0.67,3,14.0,4,,ok
5de175718608640002367bc9,5d1261293186bb0002e229e8,2019-12-02,MOINHO DO NORDESTE,Condor - Campo Largo - Centro,2,3,2,0.67,1.0,3,108.0,4,,ok
5de175718608640002367bce,5d1261293186bb0002e229e8,2019-12-03,MOINHO DO NORDESTE,Condor - Campo Largo - Centro,2,3,2,0.67,1.0,3,10.0,4,,ok
5de1e25e4406b00002686aeb,5d1261293186bb0002e229e8,2019-12-07,MOINHO DO NORDESTE,Condor - Campo Largo - Centro,1,2,1,0.33,0.67,3,44.0,4,,ok
5de5d6e22129100002e610a9,5dc316d4455d6a0002dfab27,2019-12-10,MOINHO DO NORDESTE,Condor - Campo Largo - Centro,1,2,0,0.33,0.67,3,9.0,4,,ok
5de879d3ed0ef5000216f560,5d1261293186bb0002e229e8,2019-12-12,MOINHO DO NORDESTE,Condor - Campo Largo - Centro,0,0,0,0.0,0.0,3,69.0,4,,ok
5deb1cddab8c960002927c7a,5d0983ec6045c10002f8d5f6,2019-12-14,MOINHO DO NORDESTE,Condor - Campo Largo - Centro,1,1,1,0.33,0.33,3,68.0,4,,ok
5dedbfdb73ea5a0002c6c45c,5d0983ec6045c10002f8d5f6,2019-12-16,MOINHO DO NORDESTE,Condor - Campo Largo - Centro,1,3,2,0.33,1.0,3,11.0,4,,ok
5defd2282160da000235b32d,5d1261293186bb0002e229e8,2019-12-11,MOINHO DO NORDESTE,Condor - Campo Largo - Centro,0,2,0,0.0,0.67,3,176.0,4,,ok
