activityId;workerId;date;companyName;establishmentName;numberOfRuptures;numberProductsOutStorage;numberProductsOutShelf;rateRuptures;rateOutStorage;mixSize;duration;numberOfPictures;averageRating;marker
ObjectId(5e0e3b00d88d7300023ad229);5df0f157585efe000206b2ef;04/01/2020;COCA-COLA FEMSA;Condor - São José dos Pinhais - Centro;0;0;0;0.0;0.0;115;8.0;19;2;1
ObjectId(5e18b2110999d600023ff91a);5e0de6a611e8d00002996ed3;12/01/2020;COCA-COLA FEMSA;Condor - Curitiba - Pinheirinho;0;0;0;0.0;0.0;115;120.0;25;1;1
ObjectId(5e1f319363e6330002ac059a);5dccd49197f3a60002d3b030;16/01/2020;COCA-COLA FEMSA;Condor - Curitiba - Sítio Cercado;0;0;0;0.0;0.0;115;166.0;34;2;1
ObjectId(5e25c56369704c000213164a);5debbb8a4a65960002111fdd;21/01/2020;COCA-COLA FEMSA;Walmart - Curitiba - Jardim das Américas;0;0;0;0.0;0.0;115;46.0;18;2;1
ObjectId(5e26f45aad07c700027e3333);5d5aa99f83a3dd0002fed554;23/01/2020;COCA-COLA FEMSA;Condor - Curitiba - Torres;0;0;0;0.0;0.0;115;298.0;56;2;1
ObjectId(5e291356aca9ea00026f5f2f);5e1f3bb0a7a0eb0002d57cc0;30/01/2020;COCA-COLA FEMSA;Condor - Curitiba - Água Verde;0;0;0;0.0;0.0;115;272.0;27;2;1
ObjectId(5e2b1c781bb2970002f6b08e);5e110e1fe8ee8300022d3157;27/01/2020;COCA-COLA FEMSA;Condor - Curitiba - Novo Mundo;0;0;0;0.0;0.0;115;175.0;19;1;1
ObjectId(5d4a423b13790f00027e81b5);5cc77920e3cc6f003875753a;14/08/2019;KORIN - CÂMARA FRIA E MERCEARIA;Super Muffato - Curitiba - Folloni;0;0;12;0.0;0.0;16;15.0;2;2;1
ObjectId(5d9f7eb5758f7e000230814a);5d16487bb67b2200027fd0b0;12/10/2019;DR. SCHAR;Super Muffato - Curitiba - Hauer;27;35;27;0.77;1.0;35;23.0;4;2;1
ObjectId(5dd7ea4cdf8d4b00023a43ba);5ce9c746b9a0660034769abd;23/11/2019;PREMISSE;Condor - Pinhais - Av. Jacob Macanhan;11;14;16;0.44;0.56;25;71.0;6;2;1
ObjectId(5d58c2bcf15d2d0002f5b3e4);5d1d28efe8c7b20002cac0b0;25/08/2019;WEWISH;Super Muffato - Londrina - Duque ;1;1;1;0.09;0.09;11;42.0;2;2;1
ObjectId(5d60abc24101d1000255973d);5d2a4f19eb8b580002089dfb;31/08/2019;WEWISH;Super Muffato - Maringá - Catuaí;11;11;11;1.0;1.0;11;6.0;2;2;1
ObjectId(5d6d54fa10b9e800023ecd4f);5d669adf3a6c7e0002b841f0;08/09/2019;WEWISH;Super Muffato - Londrina - Gourmet Aurora ;0;0;10;0.0;0.0;11;31.0;2;2;1
ObjectId(5d6ffad469e9fc00021b82c6);5d1fffcea074a90002146a5e;06/09/2019;WEWISH;Super Muffato - Curitiba - Folloni;0;11;0;0.0;1.0;11;9.0;2;2;1
