activityId;companyName;establishmentName;workerId;date;numberOfRuptures;numberProductsOutStorage;numberProductsOutShelf;rateRuptures;rateOutStorage;mixSize;duration;numberOfPictures;averageRating;marker
ObjectId(5dbb2070160fda0002180d3d);P&G;Mercadorama - Curitiba - Rebouças;5d4ca3dd8584f200027201be;01/11/2019;5;0;0;0.11627906976744186;0.0;43;0;0;1;1
ObjectId(5dbc8321ac0d610002eaafd9);COCA-COLA FEMSA;Condor - Curitiba - Derosso;5db517e158b2540002dc74f2;03/11/2019;0;0;0;0.0;0.0;314;47.0;20;2;1
ObjectId(5dc02d8793a59d000296cb8c);COCA-COLA FEMSA;Condor - Curitiba - Campo Comprido;5dae1bdcfd8abd000253b680;11/11/2019;0;0;0;0.0;0.0;28;148.0;18;1;1
ObjectId(5dc030924660340002ce1454);COCA-COLA FEMSA;Condor - Curitiba - Campo Comprido;5dae1bdcfd8abd000253b680;11/11/2019;0;0;0;0.0;0.0;68;157.0;16;2;1
ObjectId(5dc0314ec71c2f000275cc4b);COCA-COLA FEMSA;Condor - Curitiba - Campo Comprido;5db977134cd67d0002bba83b;11/11/2019;0;0;0;0.0;0.0;110;34.0;10;1;1
ObjectId(5dc0314f1780de0002f6d477);COCA-COLA FEMSA;Condor - Curitiba - Santa Cândida;5d93526219117c0002975227;11/11/2019;0;0;0;0.0;0.0;110;229.0;24;1;1
ObjectId(5dc0318cc71c2f000275cc7b);COCA-COLA FEMSA;Condor - Curitiba - Campo Comprido;5dae1bdcfd8abd000253b680;11/11/2019;0;0;0;0.0;0.0;115;154.0;12;2;1
ObjectId(5dc088525c1add0002ac1866);COCA-COLA FEMSA;Rio Verde - Almirante Tamandare;5d4752559842d60002d9641d;05/11/2019;0;0;0;0.0;0.0;115;33.0;10;2;1
ObjectId(5dc088a9b9f9380002ec61fe);COCA-COLA FEMSA;TodoDia - Araucária;5d9f89dd18bb460002151a1f;11/11/2019;0;0;0;0.0;0.0;110;10.0;10;2;1
ObjectId(5dc18b8f29bec80002ba54a2);COCA-COLA FEMSA;Condor - Curitiba - Santa Quitéria;5cc77920e3cc6f003875753a;09/11/2019;0;0;0;0.0;0.0;68;53.0;12;1;1
ObjectId(5dc190e15d61e200021e99c2);COCA-COLA FEMSA;Mercadorama - Curitiba - Comendador Araújo;5db75e9d97eeab0002d66065;12/11/2019;0;0;0;0.0;0.0;115;93.0;17;1;1
ObjectId(5dc1918fe6e6490002560be8);COCA-COLA FEMSA;Mercadorama - Curitiba - Comendador Araújo;5db4c22858b2540002dc5f8d;09/11/2019;0;0;0;0.0;0.0;68;40.0;24;1;1
ObjectId(5dc1b58accf32d0002fc5dfb);COCA-COLA FEMSA;Max Atacadista - Pinhais - Centro;5db977134cd67d0002bba83b;08/11/2019;0;0;0;0.0;0.0;314;21.0;32;1;1
ObjectId(5dc1b655941d6f00022b724e);COCA-COLA FEMSA;Max Atacadista - Pinhais - Centro;5db977134cd67d0002bba83b;08/11/2019;0;0;0;0.0;0.0;110;78.0;10;1;1
ObjectId(5dc332039bc787000226ad9e);TRINDADE MASSAS (CÂMARA FRIA);Max Atacadista - Pinhais;5db977134cd67d0002bba83b;10/11/2019;0;0;0;0.0;0.0;6;15.0;8;1;1
ObjectId(5dc3320c9bc787000226adb2);TRINDADE MASSAS (CÂMARA FRIA);Max Atacadista - São José dos Pinhais - Afonso Pena;5db977134cd67d0002bba83b;10/11/2019;0;0;0;0.0;0.0;6;60.0;6;1;1
ObjectId(5dc333002752cb0002de390f);MR. CRUMS;Big - Curitiba - Santa Felicidade;5db977134cd67d0002bba83b;11/11/2019;0;0;0;0.0;0.0;21;4.0;2;1;1
ObjectId(5dc333258c2f4800024a95d5);MR. CRUMS;Big - Londrina - Helena;5d83cd00e813380002cc47f7;11/11/2019;0;0;0;0.0;0.0;21;0;6;2;1
ObjectId(5dc33341c85c5000028787cf);HIDROCENTER;Mercadorama - Curitiba - Batel;5db977134cd67d0002bba83b;11/11/2019;0;0;0;0.0;0.0;15;13.0;4;1;1
