activityId,companyName,establishmentName,workerId,date,numberOfRuptures,numberProductsOutStorage,numberProductsOutShelf,rateRuptures,rateOutStorage,mixSize,averageRating,duration,marker
ObjectId(5dae2a74d0e3f20002fe528c),MR. CRUMS,Mercadorama - Curitiba - Rebouças,5cc764c5e3cc6f00387529f3,2019-10-28,3,21,6,0.14285714285714285,1.0,21,5,11.0,ok
ObjectId(5dae2a77d0e3f20002fe5291),MR. CRUMS,Mercadorama - Curitiba - Batel,5d5592f1908c800002a39c3f,2019-10-28,8,20,9,0.38095238095238093,0.95238095238095233,21,5,24.0,ok
ObjectId(5dae2a79d0e3f20002fe5299),MR. CRUMS,Mercadorama - Curitiba - Comendador Araújo,5d92a44ddaf60800023761b3,2019-10-28,0,15,0,0.0,0.7142857142857143,21,5,63.0,ok
ObjectId(5dae2a7dd0e3f20002fe52a1),MR. CRUMS,Mercadorama - Curitiba - XV de Novembro,5ce7203f992aaf0035e12cdb,2019-10-28,5,21,0,0.23809523809523808,1.0,21,5,17.0,ok
ObjectId(5dae2a80d0e3f20002fe52b5),MR. CRUMS,Walmart - Curitiba - Jardim das Américas,5d4ae483935024000249ed28,2019-10-28,4,20,4,0.19047619047619047,0.95238095238095233,21,5,14.0,ok
ObjectId(5dae2a83d0e3f20002fe52ba),MR. CRUMS,Mercadorama - Curitiba - General Osório,5ce7203f992aaf0035e12cdb,2019-10-28,3,15,3,0.14285714285714285,0.7142857142857143,21,4,47.0,ok
ObjectId(5dae2a85d0e3f20002fe52bf),MR. CRUMS,Big - Curitiba - Xaxim,5d1fa4239445ca0002ad77d8,2019-10-28,0,0,0,0.0,0.0,21,5,33.0,ok
ObjectId(5dae2a88d0e3f20002fe52c4),MR. CRUMS,Big - Curitiba - Boa Vista,5d50ce4418d17300029d9b7e,2019-10-28,0,0,0,0.0,0.0,21,5,24.0,ok
ObjectId(5dae2a8bd0e3f20002fe52c9),MR. CRUMS,Big - Curitiba - Av. das Torres,5d16487bb67b2200027fd0b0,2019-10-28,0,0,0,0.0,0.0,21,5,9.0,ok
ObjectId(5dae2a8ed0e3f20002fe52d1),MR. CRUMS,Big - Curitiba - Pinheirinho (erro),5cc764c5e3cc6f00387529f3,2019-10-28,0,0,0,0.0,0.0,21,5,5.0,ok
ObjectId(5dae2a90d0e3f20002fe52d6),MR. CRUMS,Big - Curitiba - Pinheirinho,5cc764c5e3cc6f00387529f3,2019-10-28,0,0,0,0.0,0.0,21,5,7.0,ok
ObjectId(5dae2a92d0e3f20002fe52db),MR. CRUMS,Mercadorama - Curitiba - Rebouças,5cc764c5e3cc6f00387529f3,2019-10-28,0,0,0,0.0,0.0,21,5,3.0,ok
ObjectId(5dae2a95d0e3f20002fe52e0),MR. CRUMS,Mercadorama - Curitiba - Batel,5cc764c5e3cc6f00387529f3,2019-10-28,0,0,0,0.0,0.0,21,5,8.0,ok
ObjectId(5dae2a98d0e3f20002fe52e8),MR. CRUMS,Mercadorama - Curitiba - Comendador Araújo,5ce7203f992aaf0035e12cdb,2019-10-28,0,0,0,0.0,0.0,21,5,21.0,ok
ObjectId(5dae2a9ad0e3f20002fe52ed),MR. CRUMS,Mercadorama - Curitiba - General Osório,5ce7203f992aaf0035e12cdb,2019-10-28,0,0,0,0.0,0.0,21,5,5.0,ok
ObjectId(5dae2a9cd0e3f20002fe52f2),MR. CRUMS,Mercadorama - Curitiba - Bacacheri,5d50ce4418d17300029d9b7e,2019-10-28,0,0,0,0.0,0.0,21,5,44.0,ok
ObjectId(5dae2a9ed0e3f20002fe52f7),MR. CRUMS,Walmart - Curitiba - Juvevê,5d50ce4418d17300029d9b7e,2019-10-28,0,0,0,0.0,0.0,21,5,47.0,ok
