activityId,workerId,date,companyName,establishmentName,numberOfRuptures,numberProductsOutStorage,numberProductsOutShelf,rateOfRuptures,rateOutStorage,mixSize,duration,numberOfPictures,averageRating
5e34797714eacf000272e70b,,2020-02-03,STIVAL ALIMENTOS INDUSTRIA E COMERCIO S/A,Big - Curitiba - Arthur Bernardes,0,0,0,0.0,0.0,41,,0,
5e34797814eacf000272e715,,2020-02-07,STIVAL ALIMENTOS INDUSTRIA E COMERCIO S/A,Big - Curitiba - Arthur Bernardes,0,0,0,0.0,0.0,41,,0,
5e347a6014eacf000272e729,,2020-02-03,STIVAL ALIMENTOS INDUSTRIA E COMERCIO S/A,Big - Curitiba - Arthur Bernardes,0,0,0,0.0,0.0,2,,0,
5e347a6014eacf000272e72e,,2020-02-05,STIVAL ALIMENTOS INDUSTRIA E COMERCIO S/A,Big - Curitiba - Arthur Bernardes,0,0,0,0.0,0.0,2,,0,
5e347a6114eacf000272e733,,2020-02-07,STIVAL ALIMENTOS INDUSTRIA E COMERCIO S/A,Big - Curitiba - Arthur Bernardes,0,0,0,0.0,0.0,2,,0,
5e347a60db6abc000254527c,5e1f3bb0a7a0eb0002d57cc0,2020-02-03,STIVAL ALIMENTOS INDUSTRIA E COMERCIO S/A,Big - Curitiba - Portão,0,0,0,0.0,0.0,2,,0,
5e347a60db6abc0002545281,,2020-02-05,STIVAL ALIMENTOS INDUSTRIA E COMERCIO S/A,Big - Curitiba - Portão,0,0,0,0.0,0.0,2,,0,
5e347a60db6abc0002545286,,2020-02-07,STIVAL ALIMENTOS INDUSTRIA E COMERCIO S/A,Big - Curitiba - Portão,0,0,0,0.0,0.0,2,,0,
5e385db9e6cc780002e99aea,5dd58db3ea8bb1000212e5c3,2020-02-04,YINS BRASIL,Condor - Ponta Grossa - Oficinas,0,0,0,0.0,0.0,10,,0,
5e385dbbbb1bd90002e07491,,2020-02-04,YINS BRASIL,Condor - Ponta Grossa - Uvaranas,0,0,0,0.0,0.0,10,,0,
5e385e19abdc340002d1be7a,5cf9a14f8b1e51000225b542,2020-02-05,COCA-COLA FEMSA,Condor -  Araucária - Bairro Costeira,0,0,0,0.0,0.0,115,,0,
5e385e23bb1bd90002e074c9,5dfe7557ac05ba00028797c9,2020-02-08,COCA-COLA FEMSA,Condor - Curitiba - Ahú,0,0,0,0.0,0.0,115,,0,
5e385e13456b4c00028f4ff1,5d434aef4cb39500023ccdfc,2020-02-07,COCA-COLA FEMSA,Condor - Curitiba - Nilo Peçanha,0,0,0,0.0,0.0,115,,0,
5e387626a1d676000249d5eb,,2020-02-10,ROOTS TO GO,Condor -  Maringá  - Av. Paranà,0,0,0,0.0,0.0,5,,0,
5e38b6b172528700023e9945,,2020-02-05,STIVAL ALIMENTOS INDUSTRIA E COMERCIO S/A,Big - Curitiba - Arthur Bernardes,0,0,0,0.0,0.0,40,,0,
5e38b6b1ca84e5000231d3c5,,2020-02-05,STIVAL ALIMENTOS INDUSTRIA E COMERCIO S/A,Big - Curitiba - Portão,0,0,0,0.0,0.0,40,,0,
5e38b6d4ca84e5000231d3ca,,2020-02-05,STIVAL ALIMENTOS INDUSTRIA E COMERCIO S/A,Big - Curitiba - Arthur Bernardes,0,0,0,0.0,0.0,41,,0,
5e38b6d472528700023e995c,,2020-02-05,STIVAL ALIMENTOS INDUSTRIA E COMERCIO S/A,Big - Curitiba - Portão,0,0,0,0.0,0.0,41,,0,
5e38b6fbca84e5000231d3d2,,2020-02-05,STIVAL ALIMENTOS INDUSTRIA E COMERCIO S/A,Big - Curitiba - Arthur Bernardes,0,0,0,0.0,0.0,40,,0,
5e38b6fb72528700023e996a,,2020-02-05,STIVAL ALIMENTOS INDUSTRIA E COMERCIO S/A,Big - Curitiba - Portão,0,0,0,0.0,0.0,40,,0,
5e38b719ca84e5000231d3d7,,2020-02-05,STIVAL ALIMENTOS INDUSTRIA E COMERCIO S/A,Big - Curitiba - Portão,0,0,0,0.0,0.0,41,,0,
5e38b71972528700023e9978,,2020-02-05,STIVAL ALIMENTOS INDUSTRIA E COMERCIO S/A,Big - Curitiba - Arthur Bernardes,0,0,0,0.0,0.0,41,,0,
5e38b9ea72528700023e9adb,,2020-02-05,COCA-COLA FEMSA,Almeida Ibiporã,0,0,0,0.0,0.0,110,,0,
5e38ba3c72528700023e9ae3,,2020-02-05,STIVAL ALIMENTOS INDUSTRIA E COMERCIO S/A,Big - Curitiba - Portão,0,0,0,0.0,0.0,40,,0,
5e38ba3bca84e5000231d64c,,2020-02-05,STIVAL ALIMENTOS INDUSTRIA E COMERCIO S/A,Big - Curitiba - Arthur Bernardes,0,0,0,0.0,0.0,40,,0,
5e38ba7072528700023e9aee,,2020-02-05,COCA-COLA FEMSA,Almeida Ibiporã,0,0,0,0.0,0.0,6,,0,
